,Part,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71
41,root,0,0,0,68.5384,0,0.684,0,0,0,842.305,1005.6823,12.2955,0,0,0,0.4432,0,0,0,0,0,264.2542,109.6105,27.9028,0,2.0131,162.4029,232.431,0,616.2802,29.8763,340.4001,267.3113,412.9419,340.7539,0,0,270.6324,0,30.6825,0,0,12.2437,11.8401,0,303.5086,149.539,15.1375,0,0,3.1015,2.5084,0.2882,3.573,0,0,0,0,0,19.3006,2.4379,0,2.5631,18.0296,7.2128,0,0,2.2067,0,0,0
42,root,30.9839,0,0,109.7703,0,3.148,0,33.1977,13.327,1125.4208,722.7475,0,0,0,0,7.9359,0,0,0,0,0,344.5926,0,35.5276,0,2.2342,120.9575,0,0,815.1344,0,365.3772,285.1768,582.549,0,0,0,601.7331,124.1178,70.1876,29.9559,0,16.8973,21.7465,0,315.1558,111.4605,9.8731,0,0,11.9484,0,0,117.8812,0,0,0,0,27.1753,0,0,23.6053,22.0938,163.6184,9.9559,0,0,17.2072,0,0,0
43,root,39.5028,0,0,67.4359,0,0,0,49.8533,23.7372,776.69,931.1301,5.9168,0,0,0,5.182,0,0,0,0,0,269.1385,72.3795,24.2876,0,0,172.3158,198.4105,0,594.8064,19.7487,218.5995,198.4085,388.5331,310.6817,0,0,261.1066,0,22.4931,0,14.8328,16.1819,1.1202,0,359.906,124.0112,6.0282,0,0,3.9319,37.2218,53.5876,173.442,0,0,54.0956,0,40.8226,0,0,53.9563,48.6531,185.1761,23.7416,0,0,28.595,0,0,0
44,root,0,0,0,87.9268,0,2.474,0,0.263,0,810.7154,801.6126,40.5087,0,0,0,1.3632,0,0,0,0,0,291.6441,47.782,29.7164,0,2.4923,137.774,128.2435,0,512.0066,28.2734,675.731,293.2087,304.9929,158.324,0,0,233.2855,0,99.2924,51.9039,0,19.9772,43.729,13.7228,150.2695,224.258,0,0,0,6.377,0,0.1106,5.5074,0,0,0.1351,0,0,9.272,0,1.6511,3.7989,30.9848,3.9612,0,0,2.6657,0,0,0
45,root,0,0,0,87.7569,0,63.5558,0,0,0,937.4106,724.1601,33.9374,0,0,0,1.7766,0,0,0,0,0,296.9881,49.0614,74.3066,0,0.7558,88.6973,95.3989,0,581.1809,17.3191,608.4244,342.8224,358.0185,122.2002,0,0,326.6066,83.7848,102.843,0,0,22.3471,30.7746,0,180.6388,205.8034,0,0,0,10.0538,4.4994,2.9614,23.2648,0,0,3.2405,0,0,13.0962,0,1.6423,5.4863,28.4791,5.2458,0,0,1.5559,0,0,0
46,root,0,0,0,93.1033,0,51.8575,0,0,0,979.4276,698.2176,27.0537,0,0,0,0.2135,0,0,0,0,0,308.0629,42.5191,74.0738,0,2.0548,78.4116,123.1369,0,479.9255,37.8777,621.6273,258.0014,307.6928,150.135,0,0,242.5053,68.1791,101.0412,50.5717,0,18.6132,44.7218,24.3244,152.7036,229.9096,0,0,0,7.9873,0,0,5.8313,0,0,1.0393,0,0,8.7294,0,0.6535,2.237,13.1833,3.1287,0,0,1.0902,0,0,0
47,root,0,0,0,81.9914,0,6.1783,0,0,0,754.7685,825.3428,32.5535,0,0,0,0.1248,0,0,0,0,0,279.0969,74.847,30.9961,0,0,137.26,158.8508,0,443.3548,54.6886,640.5204,292.3849,216.9001,193.2836,0,0,142.7042,44.4444,63.3232,32.9818,0,16.8296,26.5623,1.4885,142.7817,232.6852,21.0906,0,0,1.7007,0.2737,0.1208,3.2661,0,0,0.5751,0,0,8.7866,0.1715,0,2.3095,13.5853,3.6797,0,0,1.4744,0,0,0
48,root,0,0,0,70.3462,0,1.3099,0,0,0,956.0295,777.1538,42.7504,0,0,0,1.2535,0,0,0,0,0,306.3442,32.6456,31.2036,0,0,114.1128,59.5434,0,650.5525,10.3813,748.1953,302.6656,342.3277,97.641,0,0,289.8518,79.6417,111.3323,0,0,24.2665,46.6386,0,160.1006,189.1642,19.1757,0,0,9.3104,0,0,5.7952,0,0,0.0384,0,0,11.6975,2.6312,0,3.8263,22.281,4.2174,0,0,1.4952,0,0,0
49,root,0,0,0,107.6056,0,12.8342,0,0,0,1008.5238,629.0206,47.3538,0,0,0,0.0324,0,0,0,0,0,329.9106,107.6065,34.6209,0,2.066,27.8182,215.1726,0,490.8585,37.3435,647.7139,301.9755,222.6216,215.5329,0,0,141.7244,0,52.4883,0,0,14.1435,13.9218,0,100.7322,147.8727,12.8906,0,0,2.0241,1.6806,0,3.2688,0,0,0.0434,0,0,11.0701,2.4675,0,2.825,14.2336,3.0946,0,0,0.8065,0,0,0
50,root,0,0,0,93.456,0,250.5758,0,0,0,1137.7544,386.5986,42.654,0,0,0,1.3801,0,0,0,0,0,226.4348,0,228.2673,0,2.169,13.809,0,0,641.1123,0,625.5242,361.6279,474.0393,0,0,0,496.3729,0,129.2882,61.9348,0,16.3404,58.6132,23.5425,274.8934,255.2812,23.5834,0,0,10.4331,0,0,2.9573,0,0,0,0,0,13.2449,1.7096,0.7016,1.9195,14.012,4.3065,0,0,2.1918,0,0,0
